construct_design_id,route,p450_entry,p450_system_type,redox_partner_requirement,thioesterase_entry,combined_design_feasibility_score,recommended_p450_action,p450_expression_module,redox_module,localization_module,p450_construct_risk,thioesterase_module,thioesterase_rationale,thioesterase_risk,route_module,precursor_support_module,expected_intermediates_to_monitor,route_specific_risk,minimal_negative_controls,positive_or_process_controls,construct_comparison_controls,primary_readout,construct_priority_tier
10H2DA_DESIGN_022,coa_bound_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.782423,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P53208 against P14581-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_023,coa_bound_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.772185,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P38256 against P14581-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_024,coa_bound_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.68059,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P53208 against Q6NT55-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_025,coa_bound_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.670352,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P38256 against Q6NT55-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_026,coa_bound_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.655552,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+Q12354 against P14581-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_027,coa_bound_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.606583,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P53208 against P10611-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_028,coa_bound_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.596346,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P38256 against P10611-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_029,free_acid_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.565182,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P38256 against P14581-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_030,coa_bound_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.553719,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+Q12354 against Q6NT55-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_031,free_acid_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.547923,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P38256 against P10611-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_032,free_acid_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.544382,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P38256 against Q6NT55-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_033,free_acid_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.540165,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P53208 against P14581-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_034,free_acid_route,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P38256,20.523677,secondary_priority_high_activity_but_expression_risk,express P14580 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P38256 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14580+P38256 against P14580-only and P38256-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_035,free_acid_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.522906,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P53208 against P10611-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_036,free_acid_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.519365,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P53208 against Q6NT55-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_037,free_acid_route,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P53208,20.49866,secondary_priority_high_activity_but_expression_risk,express P14580 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14580+P53208 against P14580-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_038,coa_bound_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.479713,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+Q12354 against P10611-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_039,free_acid_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.442852,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+Q12354 against P14581-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_040,free_acid_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.425593,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+Q12354 against P10611-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_041,free_acid_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.422052,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+Q12354 against Q6NT55-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_042,free_acid_route,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,Q12354,20.401347,secondary_priority_high_activity_but_expression_risk,express P14580 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,screen Q12354 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14580+Q12354 against P14580-only and Q12354-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_043,coa_bound_route,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P41903,20.367015,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P21595 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P21595+P41903 against P21595-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_044,coa_bound_route,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P53208,20.222689,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P54781 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,screen P53208 as secondary thioesterase candidate,thioesterase-like annotation but exact 10H2DA precursor substrate is unvalidated,medium_high_specificity_risk,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P54781+P53208 against P54781-only and P53208-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
